PassengerId,Pclass,Sex,Age,Siblings,Fare,Embarked,relatives,Deck,Title,Age_Class
0,3,Male,26,1,20,Southampton,3,H,Mr,78
0,3,Male,59,0,7,Southampton,0,H,Mr,177
0,3,Male,22,0,8,Southampton,0,H,Mr,66
0,1,Male,71,0,34,Cherbourg,0,A,Mr,71
1,1,Male,23,0,63,Cherbourg,1,D,Mr,23
1,2,Female,34,0,23,Southampton,1,H,Mrs,68
0,2,Male,34,1,26,Southampton,1,H,Mr,68
0,3,Female,28,0,7,Southampton,0,H,Miss,84
0,3,Male,20,0,7,Southampton,0,H,Mr,60
0,1,Male,21,0,77,Southampton,1,D,Mr,21
0,3,Male,33,0,8,Southampton,0,H,Mr,99
0,3,Male,37,2,7,Southampton,2,H,Mr,111
0,3,Male,28,0,7,Southampton,0,H,Mr,84
1,3,Female,21,0,7,Southampton,0,H,Miss,63
1,3,Male,37,0,7,Southampton,0,H,Mr,111
0,3,Male,38,0,7,Southampton,0,H,Mr,114
1,3,Female,30,1,24,Queenstown,1,H,Miss,90
0,1,Male,47,0,52,Southampton,0,C,Mr,47
0,3,Female,14,1,14,Cherbourg,1,H,Miss,42
0,3,Male,22,0,8,Southampton,0,H,Mr,66
0,3,Female,20,1,9,Southampton,1,H,Miss,60
0,3,Female,17,0,14,Cherbourg,0,H,Miss,51
0,3,Male,21,0,7,Southampton,0,H,Mr,63
0,3,Male,70,0,7,Queenstown,0,H,Mr,210
0,2,Male,29,1,21,Southampton,1,H,Mr,58
0,1,Male,24,0,247,Cherbourg,1,B,Mr,24
0,3,Female,2,4,31,Southampton,6,H,Miss,6
0,2,Male,21,2,73,Southampton,2,H,Mr,42
0,3,Male,25,0,8,Southampton,0,H,Mr,75
0,2,Male,32,1,30,Cherbourg,1,H,Mr,64
1,2,Female,32,0,13,Southampton,0,E,Miss,64
0,1,Male,54,0,77,Southampton,1,D,Mr,54
1,3,Male,12,1,11,Cherbourg,1,H,Master,36
0,3,Male,30,0,7,Queenstown,0,H,Mr,90
1,3,Male,24,0,7,Southampton,0,H,Mr,72
1,3,Female,21,1,22,Cherbourg,2,F,Miss,63
0,3,Male,45,0,6,Southampton,0,H,Mr,135
0,3,Male,33,0,7,Cherbourg,0,H,Mr,99
0,3,Male,20,0,7,Southampton,0,H,Mr,60
0,3,Female,47,1,14,Southampton,1,H,Mrs,141
1,2,Female,29,1,26,Southampton,1,H,Mrs,58
0,2,Male,25,0,13,Southampton,0,H,Mr,50
0,2,Male,23,0,15,Cherbourg,0,H,Mr,46
1,1,Female,19,0,26,Southampton,2,D,Miss,19
0,1,Male,37,1,53,Southampton,1,C,Mr,37
0,3,Male,16,0,9,Southampton,0,H,Mr,48
0,1,Male,24,0,79,Cherbourg,0,B,Mr,24
0,3,Female,19,0,15,Cherbourg,2,H,Mrs,57
1,3,Female,22,0,7,Southampton,0,H,Miss,66
1,3,Female,24,1,15,Southampton,1,H,Mrs,72
0,3,Male,19,0,6,Queenstown,0,H,Mr,57
0,2,Male,18,0,11,Southampton,0,H,Mr,36
0,2,Male,19,1,36,Southampton,2,H,Mr,38
1,3,Male,27,0,7,Southampton,0,H,Mr,81
0,3,Female,9,2,34,Southampton,4,H,Miss,27
0,2,Male,36,0,26,Southampton,2,F,Mr,72
0,2,Male,42,0,13,Southampton,0,H,Rare,84
0,2,Male,51,0,12,Southampton,0,H,Rare,102
1,1,Female,22,1,66,Southampton,1,C,Mrs,22
0,3,Male,55,0,8,Southampton,0,H,Mr,165
0,3,Male,40,0,14,Southampton,2,H,Mr,120
0,3,Male,43,0,7,Southampton,0,H,Mr,129
0,1,Male,51,0,61,Cherbourg,1,H,Mr,51
1,3,Female,16,0,7,Queenstown,0,H,Miss,48
0,3,Male,30,0,8,Southampton,0,H,Mr,90
0,3,Male,23,0,8,Southampton,0,H,Mr,69
0,3,Male,22,8,69,Southampton,10,H,Master,66
0,3,Male,44,0,16,Southampton,1,H,Mr,132
1,2,Female,40,0,15,Southampton,0,H,Mrs,80
0,3,Male,26,0,7,Southampton,0,H,Mr,78
0,3,Male,17,0,8,Southampton,0,H,Mr,51
0,3,Male,1,4,39,Southampton,5,H,Master,3
1,3,Male,9,0,20,Southampton,2,H,Master,27
1,1,Female,40,0,55,Southampton,1,E,Mrs,40
0,3,Female,45,1,27,Southampton,5,H,Mrs,135
0,1,Male,31,0,25,Southampton,0,H,Mr,31
0,3,Male,28,0,56,Southampton,0,H,Mr,84
0,1,Male,61,0,33,Southampton,0,B,Mr,61
0,3,Male,4,4,29,Queenstown,5,H,Master,12
1,3,Female,1,1,11,Southampton,2,H,Miss,3
0,3,Male,21,0,7,Southampton,0,H,Mr,63
0,1,Male,56,0,30,Cherbourg,0,A,Mr,56
0,3,Male,18,1,7,Southampton,2,H,Mr,54
0,3,Male,39,3,25,Southampton,4,H,Master,117
0,1,Female,50,0,28,Cherbourg,0,C,Miss,50
0,2,Male,30,0,13,Southampton,0,H,Mr,60
0,3,Male,36,0,0,Southampton,0,H,Mr,108
0,3,Female,31,8,69,Southampton,10,H,Miss,93
0,2,Male,39,0,15,Cherbourg,0,H,Mr,78
0,3,Male,9,4,31,Southampton,6,H,Master,27
1,2,Male,1,2,39,Southampton,3,F,Master,2
1,3,Female,4,0,22,Southampton,2,H,Miss,12
0,1,Male,21,0,50,Southampton,0,A,Mr,21
1,3,Female,16,1,15,Queenstown,1,H,Mrs,48
1,1,Male,45,0,26,Southampton,0,H,Mr,45
0,3,Male,40,1,15,Queenstown,2,H,Mr,120
0,3,Male,36,0,7,Southampton,0,H,Mr,108
1,2,Female,32,0,13,Southampton,0,H,Mrs,64
0,2,Male,19,0,13,Southampton,0,H,Mr,38
1,3,Female,19,1,7,Southampton,1,H,Miss,57
1,2,Male,3,1,26,Southampton,2,F,Master,6
1,1,Female,44,0,27,Cherbourg,0,B,Mrs,44
1,1,Female,58,0,146,Cherbourg,0,B,Miss,58
0,3,Male,19,0,7,Queenstown,0,H,Mr,57
0,3,Male,42,0,8,Southampton,1,H,Mr,126
1,3,Female,23,0,7,Queenstown,0,H,Miss,69
0,2,Female,24,0,13,Southampton,0,H,Miss,48
0,3,Male,28,0,9,Southampton,0,H,Mr,84
0,3,Male,37,8,69,Southampton,10,H,Mr,111
0,3,Male,34,0,6,Southampton,0,H,Mr,102
0,3,Male,45,0,7,Cherbourg,0,H,Mr,135
1,3,Male,18,0,8,Southampton,0,H,Mr,54
0,3,Female,2,0,10,Southampton,1,G,Miss,6
0,3,Male,32,1,15,Southampton,1,H,Mr,96
1,3,Male,26,0,18,Cherbourg,0,H,Mr,78
1,3,Female,16,0,7,Queenstown,0,H,Miss,48
1,1,Male,40,0,31,Cherbourg,0,A,Mr,40
0,3,Male,24,0,7,Southampton,0,H,Mr,72
1,2,Female,35,0,21,Southampton,0,H,Miss,70
0,3,Male,22,0,7,Southampton,0,H,Mr,66
0,2,Male,30,0,13,Southampton,0,H,Mr,60
0,3,Male,42,1,7,Queenstown,1,H,Mr,126
1,1,Female,31,1,113,Cherbourg,1,D,Miss,31
1,3,Female,27,0,7,Southampton,0,H,Miss,81
0,2,Male,42,1,27,Southampton,1,H,Mr,84
1,1,Female,32,0,76,Cherbourg,0,D,Miss,32
0,2,Male,30,0,10,Southampton,0,H,Mr,60
1,3,Male,16,0,8,Southampton,0,H,Mr,48
0,2,Male,27,0,13,Southampton,0,H,Mr,54
0,3,Male,51,0,8,Southampton,0,H,Mr,153
0,3,Male,36,0,7,Southampton,0,H,Mr,108
1,1,Male,38,1,90,Southampton,1,C,Mr,38
0,3,Male,22,0,9,Southampton,0,H,Mr,66
1,2,Male,19,0,10,Southampton,0,H,Mr,38
0,3,Male,20,0,7,Southampton,0,H,Mr,60
0,2,Male,18,0,13,Southampton,0,H,Mr,36
0,3,Female,16,3,25,Southampton,4,H,Miss,48
1,1,Female,35,1,83,Southampton,1,C,Mrs,35
0,3,Male,29,0,7,Southampton,0,H,Mr,87
0,2,Male,59,0,13,Southampton,0,H,Mr,118
1,3,Female,5,4,31,Southampton,6,H,Miss,15
0,2,Male,24,0,10,Southampton,0,H,Mr,48
0,3,Female,24,0,7,Southampton,0,H,Miss,72
0,2,Male,44,1,26,Southampton,1,H,Mr,88
1,2,Female,8,0,26,Southampton,2,H,Miss,16
0,2,Male,19,0,10,Southampton,0,H,Mr,38
0,2,Male,33,0,12,Southampton,0,H,Mr,66
0,3,Female,24,1,14,Cherbourg,1,H,Miss,72
1,3,Female,35,1,15,Queenstown,1,H,Miss,105
0,2,Male,29,0,10,Southampton,0,H,Mr,58
0,3,Male,22,0,7,Southampton,0,H,Mr,66
0,3,Male,30,0,7,Cherbourg,0,H,Mr,90
0,1,Male,44,2,90,Queenstown,2,C,Rare,44
0,3,Female,25,0,7,Southampton,0,H,Miss,75
1,2,Female,24,0,14,Southampton,2,H,Mrs,48
1,1,Male,37,1,52,Southampton,2,D,Mr,37
0,2,Male,54,1,26,Southampton,1,H,Rare,108
0,3,Male,17,0,7,Southampton,0,H,Mr,51
0,3,Female,29,1,10,Southampton,2,G,Mrs,87
0,1,Male,62,0,26,Southampton,0,C,Mr,62
0,3,Male,30,1,16,Southampton,1,H,Mr,90
0,3,Female,41,0,20,Southampton,2,H,Mrs,123
1,3,Female,29,0,15,Cherbourg,2,H,Mrs,87
1,1,Female,41,0,79,Cherbourg,0,H,Mrs,41
1,1,Female,30,0,86,Southampton,0,B,Miss,30
1,1,Female,35,0,512,Cherbourg,0,H,Miss,35
1,2,Female,50,0,26,Southampton,1,H,Mrs,100
0,3,Male,21,0,7,Queenstown,0,H,Mr,63
1,3,Male,3,4,31,Southampton,6,H,Master,9
0,1,Male,52,1,79,Southampton,2,E,Mr,52
0,1,Male,40,0,0,Southampton,0,B,Mr,40
0,3,Female,41,0,7,Queenstown,0,H,Miss,123
0,2,Male,36,0,10,Southampton,0,H,Mr,72
0,3,Male,16,4,39,Southampton,5,H,Mr,48
1,3,Male,25,1,7,Southampton,1,H,Mr,75
1,1,Female,58,0,153,Southampton,1,C,Mrs,58
1,1,Female,35,0,135,Southampton,0,C,Miss,35
0,1,Male,37,0,31,Southampton,0,H,Mr,37
1,3,Male,25,0,0,Southampton,0,H,Mr,75
1,2,Female,41,0,19,Southampton,1,H,Mrs,82
0,1,Male,37,0,29,Cherbourg,1,C,Mr,37
1,3,Female,42,0,7,Queenstown,0,H,Miss,126
1,1,Female,63,1,77,Southampton,1,D,Miss,63
0,3,Female,45,0,7,Southampton,0,H,Miss,135
0,2,Male,18,0,0,Southampton,0,H,Mr,36
0,3,Male,7,4,29,Queenstown,5,H,Master,21
1,3,Female,35,1,20,Southampton,2,H,Mrs,105
0,3,Male,65,0,7,Queenstown,0,H,Mr,195
0,3,Male,28,0,7,Southampton,0,H,Mr,84
0,3,Male,16,0,9,Southampton,0,H,Mr,48
1,3,Male,19,0,8,Southampton,0,H,Mr,57
0,1,Male,19,0,26,Southampton,0,A,Mr,19
0,3,Male,33,0,8,Cherbourg,0,H,Mr,99
1,3,Male,30,0,9,Southampton,0,H,Mr,90
0,3,Male,22,0,7,Southampton,0,H,Mr,66
1,2,Male,42,0,13,Southampton,0,H,Mr,84
1,3,Female,22,0,7,Queenstown,0,H,Miss,66
1,1,Female,26,0,78,Southampton,0,H,Miss,26
1,1,Female,19,1,91,Cherbourg,1,B,Mrs,19
0,2,Male,36,0,12,Cherbourg,0,D,Mr,72
0,3,Female,24,0,8,Southampton,0,H,Miss,72
0,3,Male,24,0,7,Southampton,0,H,Mr,72
0,1,Male,18,0,27,Cherbourg,0,H,Mr,18
0,3,Male,23,0,7,Cherbourg,0,H,Mr,69
0,1,Female,2,1,151,Southampton,3,C,Miss,2
1,1,Male,32,0,30,Southampton,0,C,Mr,32
1,1,Female,50,0,247,Cherbourg,1,B,Mrs,50
1,3,Female,18,0,7,Queenstown,0,H,Miss,54
1,3,Male,30,2,23,Queenstown,2,H,Mr,90
0,3,Male,19,0,0,Southampton,0,H,Mr,57
1,2,Female,16,0,12,Queenstown,0,E,Miss,32
0,3,Male,22,0,8,Southampton,0,H,Mr,66
1,1,Male,0,1,151,Southampton,3,C,Master,0
1,1,Female,25,0,110,Cherbourg,0,H,Miss,25
1,1,Female,17,1,108,Cherbourg,1,C,Mrs,17
0,2,Male,30,1,24,Cherbourg,1,H,Mr,60
1,1,Female,30,0,56,Cherbourg,0,E,Miss,30
1,1,Female,24,0,83,Cherbourg,0,C,Miss,24
1,1,Female,18,2,262,Cherbourg,4,B,Miss,18
0,2,Female,26,1,26,Southampton,2,H,Mrs,52
0,3,Male,28,0,7,Southampton,0,H,Mr,84
0,2,Male,43,1,26,Southampton,2,H,Mr,86
1,3,Female,26,0,7,Southampton,0,H,Miss,78
1,2,Female,24,1,26,Southampton,1,H,Mrs,48
0,2,Male,54,0,14,Southampton,0,H,Rare,108
1,1,Female,31,0,164,Southampton,2,C,Miss,31
1,1,Female,40,1,134,Cherbourg,2,E,Mrs,40
0,3,Male,22,0,7,Southampton,0,H,Mr,66
0,3,Male,27,0,7,Southampton,0,H,Mr,81
1,2,Female,30,0,12,Queenstown,0,H,Miss,60
1,2,Female,22,1,29,Southampton,2,H,Mrs,44
0,3,Male,32,8,69,Southampton,10,H,Mr,96
1,1,Female,36,0,135,Cherbourg,0,C,Miss,36
0,3,Male,61,0,6,Southampton,0,H,Mr,183
1,2,Female,36,0,13,Southampton,0,D,Mrs,72
1,3,Female,31,1,20,Southampton,2,H,Mrs,93
1,1,Female,16,0,57,Cherbourg,1,B,Miss,16
1,3,Female,25,2,23,Queenstown,2,H,Miss,75
0,1,Male,45,0,28,Southampton,0,C,Mr,45
0,1,Male,38,0,153,Southampton,1,C,Mr,38
0,3,Male,16,2,18,Southampton,2,H,Mr,48
1,1,Female,22,1,133,Southampton,1,H,Mrs,22
0,3,Male,24,0,7,Southampton,0,H,Mr,72
0,1,Male,29,1,66,Southampton,1,C,Mr,29
1,1,Female,41,0,134,Cherbourg,0,E,Miss,41
1,3,Male,45,0,8,Southampton,0,H,Mr,135
0,1,Male,45,0,35,Southampton,0,0,Mr,45
1,2,Male,2,1,26,Southampton,2,F,Master,4
1,1,Female,24,3,263,Southampton,5,C,Miss,24
0,2,Male,28,0,13,Southampton,0,H,Mr,56
0,2,Male,25,0,13,Southampton,0,H,Mr,50
0,2,Male,36,0,13,Southampton,0,H,Mr,72
1,2,Female,24,0,13,Southampton,0,F,Miss,48
1,2,Female,40,0,13,Southampton,0,H,Miss,80
1,3,Female,25,1,16,Southampton,1,H,Mrs,75
1,3,Male,3,1,15,Southampton,2,H,Master,9
0,3,Male,42,0,8,Southampton,0,H,Mr,126
0,3,Male,23,0,9,Southampton,0,H,Mr,69
0,1,Male,28,0,35,Southampton,0,C,Mr,28
0,3,Male,15,1,7,Cherbourg,2,H,Mr,45
0,3,Male,25,1,17,Southampton,1,H,Mr,75
0,3,Male,24,0,7,Cherbourg,0,H,Mr,72
0,3,Male,28,0,9,Southampton,0,H,Mr,84
1,1,Female,22,0,55,Southampton,1,E,Miss,22
0,2,Female,38,0,13,Southampton,0,H,Miss,76
1,3,Female,26,0,7,Queenstown,0,H,Miss,78
1,3,Female,31,0,7,Queenstown,0,H,Miss,93
0,3,Male,40,1,27,Southampton,5,H,Mr,120
0,2,Male,29,1,27,Cherbourg,1,H,Mr,58
0,3,Female,45,0,14,Cherbourg,1,H,Mrs,135
0,3,Male,35,0,7,Southampton,0,H,Mr,105
0,3,Male,29,1,15,Queenstown,1,H,Mr,87
0,3,Male,30,0,7,Southampton,0,H,Mr,90
1,1,Female,60,1,75,Cherbourg,1,D,Mrs,60
1,3,Female,33,0,7,Cherbourg,0,H,Mrs,99
1,3,Female,17,0,7,Queenstown,0,H,Miss,51
1,1,Female,24,0,69,Cherbourg,0,B,Mrs,24
1,1,Male,25,1,55,Cherbourg,1,E,Mr,25
0,3,Male,18,1,6,Southampton,1,H,Mr,54
0,3,Male,19,0,8,Southampton,0,H,Mr,57
0,1,Male,22,0,135,Cherbourg,0,H,Mr,22
0,3,Female,3,3,21,Southampton,4,H,Miss,9
1,1,Female,18,1,82,Cherbourg,1,H,Mrs,18
1,3,Female,22,0,7,Southampton,0,H,Miss,66
0,1,Male,27,0,211,Cherbourg,2,C,Mr,27
0,3,Male,20,0,4,Cherbourg,0,H,Mr,60
0,3,Male,19,0,7,Southampton,0,H,Mr,57
1,1,Female,42,0,227,Cherbourg,0,H,Miss,42
1,3,Female,1,0,15,Cherbourg,2,H,Miss,3
0,3,Male,32,0,7,Southampton,0,H,Mr,96
1,1,Female,35,1,52,Southampton,1,H,Mrs,35
0,3,Male,29,0,7,Southampton,0,H,Mr,87
0,2,Male,18,0,73,Southampton,0,H,Mr,36
0,3,Male,1,5,46,Southampton,7,H,Master,3
1,2,Female,36,0,13,Southampton,0,H,Miss,72
0,3,Male,29,0,7,Queenstown,0,H,Mr,87
1,2,Female,17,0,12,Cherbourg,0,H,Miss,34
1,1,Male,36,1,120,Southampton,3,B,Mr,36
1,3,Male,21,0,7,Southampton,0,H,Mr,63
0,3,Male,28,2,7,Southampton,2,H,Mr,84
1,1,Female,23,1,113,Cherbourg,1,D,Miss,23
1,3,Female,24,0,16,Southampton,2,G,Mrs,72
0,3,Male,22,0,7,Southampton,0,H,Mr,66
0,3,Female,31,0,7,Southampton,0,H,Miss,93
0,2,Male,46,0,26,Southampton,0,H,Mr,92
0,2,Male,23,0,10,Southampton,0,H,Rare,46
1,2,Female,28,0,12,Southampton,0,H,Mrs,56
1,3,Male,39,0,7,Southampton,0,H,Mr,117
0,3,Male,26,0,8,Southampton,0,H,Mr,78
0,3,Female,21,1,9,Southampton,1,H,Miss,63
0,3,Male,28,1,15,Southampton,1,H,Mr,84
0,3,Female,20,0,8,Southampton,0,H,Miss,60
0,2,Male,34,1,21,Southampton,1,H,Mr,68
0,3,Male,51,0,7,Southampton,0,H,Mr,153
1,2,Male,3,1,18,Southampton,2,H,Master,6
0,3,Male,21,0,7,Southampton,0,H,Mr,63
0,3,Female,16,3,25,Southampton,4,H,Miss,48
0,3,Male,38,0,7,Southampton,0,H,Mr,114
0,3,Male,29,0,6,Queenstown,0,H,Mr,87
1,1,Female,33,1,90,Queenstown,1,C,Miss,33
0,2,Male,42,0,0,Southampton,0,H,Mr,84
1,3,Male,44,0,7,Southampton,0,H,Mr,132
0,3,Female,38,0,8,Southampton,0,H,Mrs,114
1,2,Female,34,1,32,Southampton,2,H,Mrs,68
1,2,Female,18,0,13,Southampton,2,H,Miss,36
0,2,Male,30,0,13,Southampton,0,H,Mr,60
0,3,Female,10,0,24,Southampton,2,H,Miss,30
0,3,Male,25,0,7,Cherbourg,0,H,Mr,75
0,3,Male,21,0,7,Queenstown,0,H,Mr,63
0,3,Male,29,0,7,Southampton,0,H,Mr,87
0,3,Female,28,1,14,Southampton,2,H,Mrs,84
0,3,Male,18,1,20,Southampton,2,H,Mr,54
0,3,Male,37,0,7,Southampton,0,H,Mr,111
1,2,Female,28,1,26,Southampton,1,H,Mrs,56
1,2,Female,19,0,26,Southampton,0,H,Miss,38
0,3,Male,25,0,7,Queenstown,0,H,Mr,75
1,3,Male,32,0,8,Southampton,0,E,Mr,96
1,1,Male,28,0,26,Southampton,0,C,Mr,28
1,3,Female,17,1,16,Southampton,1,H,Mrs,51
1,2,Female,42,1,26,Southampton,1,H,Mrs,84
0,3,Male,17,0,7,Southampton,0,H,Mr,51
0,1,Male,50,1,55,Southampton,1,E,Mr,50
1,1,Female,14,1,120,Southampton,3,B,Miss,14
0,3,Female,21,2,34,Southampton,4,H,Miss,63
1,2,Female,24,2,18,Southampton,5,H,Mrs,48
0,1,Male,64,1,263,Southampton,5,C,Mr,64
0,2,Male,31,0,10,Southampton,0,H,Mr,62
1,2,Female,45,1,26,Southampton,2,H,Mrs,90
0,3,Male,20,0,9,Southampton,0,H,Mr,60
0,3,Male,25,1,7,Southampton,1,H,Mr,75
1,2,Female,28,0,13,Southampton,0,H,Miss,56
1,3,Male,40,0,8,Southampton,0,H,Mr,120
1,1,Male,4,0,81,Southampton,2,A,Master,4
1,2,Female,13,0,19,Southampton,1,H,Miss,26
1,1,Male,34,0,26,Southampton,0,H,Mr,34
1,3,Female,5,2,19,Cherbourg,3,H,Miss,15
1,1,Male,52,0,30,Southampton,0,C,Rare,52
0,2,Male,36,1,27,Southampton,3,H,Mr,72
0,3,Male,40,1,19,Southampton,1,H,Mr,120
0,1,Male,30,0,27,Cherbourg,0,C,Mr,30
1,1,Male,49,1,89,Cherbourg,1,C,Mr,49
0,3,Male,29,0,8,Southampton,0,H,Mr,87
1,3,Male,29,0,7,Cherbourg,0,H,Mr,87
0,1,Male,65,0,26,Southampton,0,E,Mr,65
1,1,Female,31,1,51,Southampton,1,D,Mrs,31
1,2,Female,50,0,10,Southampton,0,H,Miss,100
0,3,Male,39,0,7,Queenstown,0,H,Mr,117
1,1,Male,48,0,26,Southampton,0,E,Mr,48
0,3,Male,34,0,8,Southampton,0,H,Mr,102
0,1,Male,47,0,38,Southampton,0,E,Mr,47
0,2,Male,48,0,13,Southampton,0,H,Mr,96
0,3,Male,16,0,8,Southampton,0,H,Mr,48
0,3,Male,38,0,7,Southampton,0,H,Mr,114
0,2,Male,27,0,0,Southampton,0,H,Mr,54
0,1,Male,56,0,26,Southampton,0,H,Mr,56
0,3,Male,43,0,7,Queenstown,0,H,Mr,129
1,3,Female,0,2,19,Cherbourg,3,H,Miss,0
0,3,Male,23,0,7,Southampton,0,H,Mr,69
0,3,Male,38,0,8,Southampton,0,H,Mr,114
1,2,Female,33,1,27,Southampton,3,H,Mrs,66
1,2,Female,23,0,13,Cherbourg,0,D,Mrs,46
0,3,Female,22,0,9,Southampton,0,H,Miss,66
0,1,Male,27,0,52,Southampton,0,A,Mr,27
0,2,Male,34,1,21,Southampton,1,H,Mr,68
0,3,Male,29,1,7,Southampton,1,H,Mr,87
0,3,Male,22,0,7,Southampton,0,H,Mr,66
1,3,Female,2,0,12,Southampton,1,H,Miss,6
0,3,Male,9,5,46,Southampton,7,H,Master,27
0,2,Male,18,0,0,Southampton,0,H,Mr,36
0,3,Male,50,0,8,Southampton,0,H,Mr,150
1,3,Female,63,0,9,Southampton,0,H,Mrs,189
1,1,Male,25,1,91,Cherbourg,1,B,Mr,25
0,3,Female,35,3,25,Southampton,4,H,Miss,105
1,1,Female,35,1,90,Southampton,1,C,Mrs,35
